"campaign_id","campaign_name","adgroup_id","adgroup_name","adgroup_targetting_type","product_id","product_name","adgroup_status","campaign_status","impressions","clicks","ctr","cvr","avg_cpc","budget_spend","units_sold_direct","units_sold_indirect","units_sold_total","direct_revenue","indirect_revenue","total_revenue","roi_direct","roi_indirect","roi_total"
"CMP1320289","MITERA MARCH 2026","ADG1320547","MITERA NEW STYLES","Auto Targeting","39657070","Mitera Ethnic Motifs Linen Blend Saree","ADGROUP_STATUS_EXPIRED","LIVE","5878","67","1.1400","1.4900","1.200000","80.40","1","0","1","1195.1200","0.0000","1195.1200","14.86000000","0.00000000","14.8600"
"CMP1320232","KALINI MARCH 2026","ADG1320264","NEW STYLES","Auto Targeting","32488048","KALINI Ethnic Motifs Woven Design Zari Banarasi Saree","ADGROUP_STATUS_EXPIRED","LIVE","5867","111","1.8900","0.9000","1.200000","133.20","0","1","1","0.0000","735.9600","735.9600","0.00000000","5.53000000","5.5300"
"CMP1320289","MITERA MARCH 2026","ADG1320292","MITERA MIX","Auto Targeting","34168845","Mitera Floral Pure Georgette Ready to Wear Saree","ADGROUP_STATUS_EXPIRED","LIVE","5853","184","3.1400","0.5400","1.200000","220.80","0","1","1","0.0000","709.4900","709.4900","0.00000000","3.21000000","3.2100"
"CMP1320232","KALINI MARCH 2026","ADG1320234","HIT STYLES","Auto Targeting","30470966","KALINI Woven Design Zari Banarasi Saree","ADGROUP_STATUS_EXPIRED","LIVE","684","20","2.9200","0.0000","1.200000","24.00","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1320289","MITERA MARCH 2026","ADG1320547","MITERA NEW STYLES","Auto Targeting","39661583","Mitera Ethnic Motifs Zari Silk Blend Heavy Work Saree","ADGROUP_STATUS_EXPIRED","LIVE","9418","307","3.2600","0.6500","1.200000","368.40","2","0","2","2400.5300","0.0000","2400.5300","6.52000000","0.00000000","6.5200"
"CMP1320232","KALINI MARCH 2026","ADG1320483","KALINI NEW STYELS","Auto Targeting","40091105","KALINI Woven Design Zari Silk Blend Fusion Paithani Saree","ADGROUP_STATUS_EXPIRED","LIVE","2481","6","0.2400","16.6700","1.200000","7.20","1","0","1","1088.1000","0.0000","1088.1000","151.13000000","0.00000000","151.1300"
"CMP1318141","SANGRIA MARCH 2026","ADG1318143","SANGRIA","Auto Targeting","39658281","Sangria Floral Printed Sarees With Unstitched Blouse Piece","ADGROUP_STATUS_EXPIRED","LIVE","1697","19","1.1200","0.0000","1.200000","22.80","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1320232","KALINI MARCH 2026","ADG1339645","KALINI HIT STYLES","Auto Targeting","33950163","KALINI Floral Pure Georgette Designer Saree","ADGROUP_STATUS_EXPIRED","LIVE","12669","319","2.5200","0.0000","1.200000","382.80","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1320232","KALINI MARCH 2026","ADG1339645","KALINI HIT STYLES","Auto Targeting","29848175","KALINI Woven Design Pure Georgette Saree","ADGROUP_STATUS_EXPIRED","LIVE","8111","206","2.5400","0.0000","1.200000","247.20","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1320232","KALINI MARCH 2026","ADG1339634","KALINI NEW","Auto Targeting","38992857","KALINI Floral Saree","ADGROUP_STATUS_EXPIRED","LIVE","4466","68","1.5200","0.0000","1.200000","81.60","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1320232","KALINI MARCH 2026","ADG1320264","NEW STYLES","Auto Targeting","39659041","KALINI Woven Design Silk Blend Designer Saree","ADGROUP_STATUS_EXPIRED","LIVE","8619","211","2.4500","0.0000","1.200000","253.20","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1140205","SATRANI FEB","ADG1181253","Satrani Saree Hit sku neut 9 to 12 Feb.","Auto Targeting","32217208","Satrani Bandhani Embroidered Pure Georgette Banarasi Saree","ADGROUP_STATUS_EXPIRED","CAMPAIGN_EXPIRED","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
